"retrievecustomers"
"(11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(14,2,Betty,White,betty.white@sakilacustomer.org,18,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,t,2006-02-14,""2013-05-26 14:49:45.738"",0)"
"(17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(30,1,Melissa,King,melissa.king@sakilacustomer.org,34,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
"(40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,t,2006-02-14,""2013-05-26 14:49:45.738"",1)"
